# The bulk route is orcid_import.bib -- one upload instead of this
# list one form at a time. Keep this for spot-fixing single works.
10.52202/075280-0310	TIES-Merging: Resolving Interference When Merging Models
10.48550/ARXIV.2402.14992	tinyBenchmarks: evaluating LLMs with fewer examples
10.18653/V1/2020.EMNLP-MAIN.638	Active Learning for BERT: An Empirical Study
10.18653/v1/2023.conll-babylm.1	Findings of the BabyLM Challenge: Sample-Efficient Pretraining on Developmentally Plausible Corpora
10.18653/v1/2025.acl-long.919	Global MMLU: Understanding and Addressing Cultural and Linguistic Biases in Multilingual Evaluation
10.1038/S41586-021-03215-W	An autonomous debating system
10.18653/V1/2021.EMNLP-MAIN.619	Q²: Evaluating Factual Consistency in Knowledge-Grounded Dialogues via Question Generation and Question Answering
10.48550/arXiv.1907.01752	On the Weaknesses of Reinforcement Learning for Neural Machine Translation
10.48550/arXiv.2204.03044	Fusing finetuned models for better pretraining
10.18653/V1/2023.ACL-LONG.559	DisentQA: Disentangling Parametric and Contextual Knowledge with Counterfactual Question Answering
10.48550/arXiv.2410.19735	Model merging with SVD to tie the Knots
10.48550/arXiv.2507.16806	Beyond Binary Rewards: Training LMs to Reason About Their Uncertainty
10.48550/ARXIV.2303.09435	Jump to Conclusions: Short-Cutting Transformers with Linear Transformations
10.48550/ARXIV.2402.16842	Asymmetry in Low-Rank Adapters of Foundation Models
10.48550/ARXIV.2405.17202	Efficient multi-prompt evaluation of LLMs
10.48550/ARXIV.2301.11796	Call for Papers - The BabyLM Challenge: Sample-efficient pretraining on a developmentally plausible corpus
10.18653/V1/P19-1093	Are You Convinced? Choosing the More Convincing Evidence with a Siamese Network
10.18653/V1/P18-2095	Will it Blend? Blending Weak and Strong Labeled Data in a Neural Network for Argumentation Mining
10.18653/V1/2023.FINDINGS-EMNLP.95	Knowledge is a Region in Weight Space for Fine-tuned Language Models
10.1609/AAAI.V34I05.6270	Corpus Wide Argument Mining - A Working Solution
10.48550/arXiv.1804.04012	DORA The Explorer: Directed Outreaching Reinforcement Action-Selection
